arac_sayisi,alpha,talep_faktor,talep_sok_pct,dispatch_kural,n_modu,starv_pct,starv_dk,ort_wip,sefer_sayisi,mesafe_km
3,0.2,1.1,10,EDD,Dinamik_N,35.69,4111,178.0,23,35.88
4,0.2,1.1,10,EDD,Dinamik_N,21.74,2505,222.8,32,49.28
5,0.2,1.1,10,EDD,Dinamik_N,16.13,1858,252.8,43,59.23
6,0.2,1.1,10,EDD,Dinamik_N,11.85,1365,267.6,81,61.09
7,0.2,1.1,10,EDD,Dinamik_N,7.64,880,273.2,112,58.68
8,0.2,1.1,10,EDD,Dinamik_N,4.28,493,278.9,129,57.83
1,0.25,1.1,10,EDD,Dinamik_N,64.79,7464,113.5,8,12.59
2,0.25,1.1,10,EDD,Dinamik_N,47.66,5491,170.0,16,25.54
3,0.25,1.1,10,EDD,Dinamik_N,30.33,3494,222.9,24,35.25
4,0.25,1.1,10,EDD,Dinamik_N,16.79,1934,272.8,34,48.52
5,0.25,1.1,10,EDD,Dinamik_N,11.66,1343,303.2,58,53.7
6,0.25,1.1,10,EDD,Dinamik_N,7.83,902,311.2,92,51.58
7,0.25,1.1,10,EDD,Dinamik_N,4.38,505,316.8,117,51.01
8,0.25,1.1,10,EDD,Dinamik_N,2.84,327,319.1,128,51.58
1,0.3,1.1,10,EDD,Dinamik_N,61.87,7127,131.8,8,13.06
2,0.3,1.1,10,EDD,Dinamik_N,43.48,5009,196.6,16,27.05
3,0.3,1.1,10,EDD,Dinamik_N,26.7,3076,258.6,24,37.11
4,0.3,1.1,10,EDD,Dinamik_N,14.09,1623,314.8,34,46.21
5,0.3,1.1,10,EDD,Dinamik_N,9.31,1072,334.7,64,47.39
6,0.3,1.1,10,EDD,Dinamik_N,7.66,883,341.2,88,47.23
7,0.3,1.1,10,EDD,Dinamik_N,4.42,509,346.3,108,46.9
8,0.3,1.1,10,EDD,Dinamik_N,3.12,359,347.9,115,46.77
1,0.05,1.2,20,EDD,Dinamik_N,72.8,8387,70.4,8,13.42
2,0.05,1.2,20,EDD,Dinamik_N,58.16,6700,107.8,16,26.87
3,0.05,1.2,20,EDD,Dinamik_N,43.55,5017,143.7,24,38.87
4,0.05,1.2,20,EDD,Dinamik_N,32.2,3710,178.6,32,49.75
5,0.05,1.2,20,EDD,Dinamik_N,20.83,2400,211.4,40,60.2
6,0.05,1.2,20,EDD,Dinamik_N,15.86,1827,230.3,59,68.74
7,0.05,1.2,20,EDD,Dinamik_N,12.52,1442,240.8,101,68.23
8,0.05,1.2,20,EDD,Dinamik_N,9.16,1055,247.5,130,66.91
1,0.1,1.2,20,EDD,Dinamik_N,71.14,8195,82.3,7,12.28
2,0.1,1.2,20,EDD,Dinamik_N,56.02,6453,123.3,15,24.17
3,0.1,1.2,20,EDD,Dinamik_N,40.69,4687,164.2,23,35.8
4,0.1,1.2,20,EDD,Dinamik_N,26.73,3079,207.7,30,46.61
5,0.1,1.2,20,EDD,Dinamik_N,18.09,2084,241.2,39,55.25
6,0.1,1.2,20,EDD,Dinamik_N,13.72,1581,258.7,70,64.81
7,0.1,1.2,20,EDD,Dinamik_N,11.54,1329,264.6,103,63.92
8,0.1,1.2,20,EDD,Dinamik_N,8.44,972,270.2,129,63.09
1,0.15,1.2,20,EDD,Dinamik_N,67.6,7787,104.0,8,12.29
2,0.15,1.2,20,EDD,Dinamik_N,51.59,5943,156.6,16,23.54
3,0.15,1.2,20,EDD,Dinamik_N,35.0,4032,205.7,24,34.48
4,0.15,1.2,20,EDD,Dinamik_N,23.12,2663,251.2,33,46.05
5,0.15,1.2,20,EDD,Dinamik_N,14.11,1625,290.6,45,56.2
6,0.15,1.2,20,EDD,Dinamik_N,11.47,1321,302.3,83,57.55
7,0.15,1.2,20,EDD,Dinamik_N,6.82,786,311.2,115,57.96
8,0.15,1.2,20,EDD,Dinamik_N,4.09,471,314.9,134,57.71
1,0.2,1.2,20,EDD,Dinamik_N,64.87,7473,120.9,8,13.42
2,0.2,1.2,20,EDD,Dinamik_N,47.53,5476,181.8,16,25.72
3,0.2,1.2,20,EDD,Dinamik_N,30.57,3522,241.9,24,36.3
4,0.2,1.2,20,EDD,Dinamik_N,19.01,2190,292.5,32,45.59
5,0.2,1.2,20,EDD,Dinamik_N,12.04,1387,325.1,54,55.21
6,0.2,1.2,20,EDD,Dinamik_N,7.54,869,336.4,91,54.65
7,0.2,1.2,20,EDD,Dinamik_N,6.58,758,337.5,114,54.27
8,0.2,1.2,20,EDD,Dinamik_N,4.18,482,340.5,133,52.94
1,0.25,1.2,20,EDD,Dinamik_N,61.88,7129,141.9,8,13.16
2,0.25,1.2,20,EDD,Dinamik_N,43.38,4997,213.3,16,24.67
3,0.25,1.2,20,EDD,Dinamik_N,26.61,3066,284.3,24,34.93
4,0.25,1.2,20,EDD,Dinamik_N,13.48,1553,343.2,36,48.58
5,0.25,1.2,20,EDD,Dinamik_N,9.99,1151,366.6,67,50.32
6,0.25,1.2,20,EDD,Dinamik_N,6.19,713,374.9,91,48.08
7,0.25,1.2,20,EDD,Dinamik_N,3.89,448,377.8,108,47.73
8,0.25,1.2,20,EDD,Dinamik_N,2.8,322,380.0,117,48.62
1,0.3,1.2,20,EDD,Dinamik_N,59.84,6894,154.5,8,13.15
2,0.3,1.2,20,EDD,Dinamik_N,40.16,4627,233.8,16,24.68
3,0.3,1.2,20,EDD,Dinamik_N,22.74,2620,312.6,24,35.91
4,0.3,1.2,20,EDD,Dinamik_N,10.27,1183,376.1,40,46.72
5,0.3,1.2,20,EDD,Dinamik_N,7.5,864,389.7,72,45.72
6,0.3,1.2,20,EDD,Dinamik_N,6.31,727,393.2,96,45.82
7,0.3,1.2,20,EDD,Dinamik_N,2.95,340,399.3,111,45.47
8,0.3,1.2,20,EDD,Dinamik_N,2.11,243,399.6,117,44.63
1,0.05,0.8,-20,SLACK,Dinamik_N,63.65,7332,80.8,8,13.15
2,0.05,0.8,-20,SLACK,Dinamik_N,44.18,5089,124.9,16,24.85
3,0.05,0.8,-20,SLACK,Dinamik_N,26.88,3097,167.7,24,38.34
4,0.05,0.8,-20,SLACK,Dinamik_N,12.96,1493,206.3,31,46.92
5,0.05,0.8,-20,SLACK,Dinamik_N,8.8,1014,220.7,63,50.32
6,0.05,0.8,-20,SLACK,Dinamik_N,4.44,511,227.1,93,50.3
7,0.05,0.8,-20,SLACK,Dinamik_N,3.15,363,228.9,107,49.02
8,0.05,0.8,-20,SLACK,Dinamik_N,2.26,260,229.5,114,48.86
1,0.1,0.8,-20,SLACK,Dinamik_N,63.63,7330,80.9,8,12.94
2,0.1,0.8,-20,SLACK,Dinamik_N,44.23,5095,124.9,16,26.04
3,0.1,0.8,-20,SLACK,Dinamik_N,26.81,3088,168.0,24,39.42
4,0.1,0.8,-20,SLACK,Dinamik_N,12.09,1393,208.0,31,48.19
